LessonNum	QuestionNum	Question	Answer1	Answer2	Answer3	Answer4	Answer5	Answer6	Correct	CB	CDT	MB	MDT
663	1		Cheese	Dog House	Moon	Sun			3	972	2010-07-08 12:17:10	972	2010-07-08 12:17:10
303	1	The story says that butchers carried mail for people in	Holland	Belgium	Russia	Both A and B			4	1	2002-11-06 08:36:32	1	2003-02-21 20:15:24
303	2	Butchers went from farm to farm to	sell food	kill animals	buy food	Both A and C			2	1	2002-11-06 08:36:32	1	2003-02-21 20:15:24
303	3	The story says that these butchers also went to	cattle sales	fairs	large cities	Both A and B			4	1	2002-11-06 08:36:32	1	2003-02-21 20:15:24
303	4	Butchers took the mail for	rulers	only other butchers	common people	Both A and C			3	1	2002-11-06 08:36:32	1	2003-02-21 20:15:24
303	5	The story says that the rulers had their own	butchers	mail service	fairs	sales			2	1	2002-11-06 08:36:33	1	2003-02-21 20:15:24
303	6	The laws that protected the rulers' mailmen protected	the traveling butchers	half of the butchers	a few of the butchers	none of the butchers			1	1	2002-11-06 08:36:33	1	2003-02-21 20:15:24
304	1	In the Battle of Marathon the Greeks fought the	Persians	Romans	Athenians	None of the above			1	1	2002-11-06 08:36:33	1	2003-02-21 20:17:12
304	2	The Greeks sent a runner with the news that they had	won the battle	lost the battle	just begun the battle	run away from the battle			1	1	2002-11-06 08:36:33	1	2003-02-21 20:17:12
304	3	The man ran	16 miles	26 miles	56 miles	106 miles			2	1	2002-11-06 08:36:33	1	2003-02-21 20:17:12
304	4	The man ran from	Marathon to Persia	Persia to Marathon	Athens to Marathon	Marathon to Athens			4	1	2002-11-06 08:36:33	1	2003-02-21 20:17:12
304	5	As soon as he gave the news to the people, the runner	went back to the battle	ran to another town	fell and died	was killed by the angry people			3	1	2002-11-06 08:36:33	1	2003-02-21 20:17:12
304	6	The race in the Olympic games has the name of the	brave runner who gave his life	fighters who won the battle	place where the battle was fought	city the runner went to			3	1	2002-11-06 08:36:33	1	2003-02-21 20:17:12
305	1	The story says that settlers gave wild- ginger tea to	babies	sick people	old people	Indians			2	1	2002-11-06 08:36:33	1	2003-02-21 20:18:30
305	2	Wild-ginger tea was made from the plant's	buds	leaves	roots	All of the above			3	1	2002-11-06 08:36:33	1	2003-02-21 20:18:30
305	3	The Indians used wild ginger to make their meat	cook faster	taste better	feel softer	Both A and C			2	1	2002-11-06 08:36:33	1	2003-02-21 20:18:30
305	4	In the United States, wild ginger is found in the	East	Northwest	Southwest	All of the above			1	1	2002-11-06 08:36:33	1	2003-02-21 20:18:30
305	5	Wild ginger grows where it is	dry	hot	damp	cold			3	1	2002-11-06 08:36:33	1	2003-02-21 20:18:30
305	6	The story says that the root of wild ginger	has a strong smell	is long and thick	grows sideways	All of the above			4	1	2002-11-06 08:36:33	1	2003-02-21 20:18:30
306	1	Another name for the puma is	cougar	cheetah	tiger	All of the above			1	1	2002-11-06 08:36:33	1	2003-02-21 20:19:54
306	2	The puma is found in	South America	Europe	North America	Both A and C			4	1	2002-11-06 08:36:33	1	2003-02-21 20:19:54
306	3	The puma's coat is	black	striped	tawny	spotted			3	1	2002-11-06 08:36:33	1	2003-02-21 20:19:54
306	4	A puma that is seven feet long has a tail that is about	six inches long	one foot long	two feet long	five feet long			3	1	2002-11-06 08:36:33	1	2003-02-21 20:19:54
306	5	The story says that the puma	climbs well	has a powerful spring	lives in jungles or mountains	All of the above			4	1	2002-11-06 08:36:33	1	2003-02-21 20:19:54
306	6	The puma preys on	man	deer	monkeys	Both B and C			4	1	2002-11-06 08:36:33	1	2003-02-21 20:19:54
307	1	Rene Theophile Laennec was a	German scientist	British surgeon	French physician	Swedish professor			3	1	2002-11-06 08:36:33	1	2003-02-13 18:13:15
307	2	The idea for a stethoscope came to Dr. Laennec	through experiment and study	by accident	from another physician	from one of his patients			2	1	2002-11-06 08:36:33	1	2003-02-13 18:13:15
307	3	The sound that Laennec heard in the park came from children	beating a drum	sending messages through a hollow log	kicking an old tin can	making echoes in a tunnel			2	1	2002-11-06 08:36:33	1	2003-02-13 18:13:15
307	4	Laennec's first stethoscope was a	piece of paper	plastic tube	hollow log	None of the above			1	1	2002-11-06 08:36:33	1	2003-02-13 18:13:15
307	5	In 1819 Laennec published	a newspaper	his first medical book	an essay	a historical novel			3	1	2002-11-06 08:36:33	1	2003-02-13 18:13:15
307	6	A doctor would be most likely to use auscultation to diagnose a	sore throat	lung disease	broken leg	head injury			2	1	2002-11-06 08:36:33	1	2003-02-13 18:13:15
307	7	The author implies that if the stethoscope had never been developed	heart ailments would be difficult to diagnose	an accurate physical examination would be impossible today	Both A and B	Neither A nor B			3	1	2002-11-06 08:36:33	1	2003-02-13 18:13:15
307	8	When the medical world learned of Laennec's discovery	his findings were ridiculed	he was asked to do more research	he was sought after by all the major hospitals	The article does not say.			4	1	2002-11-06 08:36:33	1	2003-02-13 18:13:15
308	1	Hairy makes his home in the	forest	mountains	desert	swamp			3	1	2002-11-06 08:36:33	1	2003-02-13 18:17:45
308	2	His ancestors date back	millions of years	a few thousand years	a few hundred years	just to the turn of the twentieth century			1	1	2002-11-06 08:36:33	1	2003-02-13 18:17:45
308	3	Hairy is actually a	turtle	snake	lizard	scorpion                             			4	1	2002-11-06 08:36:33	1	2003-02-13 18:17:45
308	4	If stung by Hairy, you will probably	die	feel only a mild pain	be hospitalized	never feel it			2	1	2002-11-06 08:36:33	1	2003-02-13 18:17:45
308	5	According to the article, Hairy was probably the first scorpion to develop the habit of	eating meat	stinging enemies	breathing	sleeping through the winter			3	1	2002-11-06 08:36:33	1	2003-02-26 13:33:52
308	6	Hairy gets his water supply from	underground	rainfall	streams	oceans			1	1	2002-11-06 08:36:33	1	2003-02-13 18:17:45
308	7	Scientists have found Hairy to be	intelligent	backward	sickly	weak			2	1	2002-11-06 08:36:33	1	2003-02-13 18:17:45
308	8	Since his beginning, Hairy has	become almost extinct	changed a great deal in appearance and habit	remained almost unchanged	None of the above			3	1	2002-11-06 08:36:33	1	2003-02-13 18:19:51
309	1	The first wiener was made in 1852 in	England	France	Austria	the United States			3	1	2002-11-06 08:36:34	1	2003-02-13 18:22:32
309	2	Today Americans each eat an average of	80 hotdogs a month	115 hotdogs a year	70 hotdogs a week	80 hotdogs a year			4	1	2002-11-06 08:36:34	1	2003-02-13 18:22:32
309	3	After two round trips to the moon, the hotdogs consumed in the United States in a year could	circle Mars twelve times	make seven trips to the sun	circle the earth fourteen times	circle the moon fourteen times			3	1	2002-11-06 08:36:34	1	2003-02-13 18:22:32
309	4	The author implies that if the bun had not been created, the wiener might	not have become so popular	not have been sold on the moon	have become the favorite food in Austria	be sold in all supermarkets			1	1	2002-11-06 08:36:34	1	2003-02-13 18:22:32
309	5	Implied but not stated: A sausage vendor in St. Louis was the first man to	sell wieners in the United States	combine a wiener with a bun	refer to the sausage as a hotdog	make a profit selling sausages			2	1	2002-11-06 08:36:34	1	2003-02-13 18:22:32
309	6	The actual creator of the hotdog bun was a	Vienna baker	Vienna vendor	St. Louis vendor	St. Louis baker			4	1	2002-11-06 08:36:34	1	2003-02-13 18:22:32
309	7	The appearance of the bun followed the appearance of the wiener by about	a century	half a century	ten years	The article does not say.			2	1	2002-11-06 08:36:34	1	2003-02-13 18:22:32
309	8	The money spent for hotdogs in one year amounts to	$30 million	$500 thousand	$1 million	The article does not say.			4	1	2002-11-06 08:36:34	1	2003-02-13 18:22:32
310	1	The Memphis Appeal published in favor of the	British in the American Revolution	Confederates in the Civil War	Spanish in the Spanish-American War	None of the above			2	1	2002-11-06 08:36:34	1	2003-02-13 18:26:17
310	2	The paper kept moving farther into	the northern United States	Canada	Mexico	the southern United States			4	1	2002-11-06 08:36:34	1	2003-02-13 18:26:17
310	3	The paper got the nickname &quot;Moving Appeal&quot; because it	appealed to Yankees	moved from town to town	stirred the Confederates' emotions	used movable type			2	1	2002-11-06 08:36:34	1	2003-02-13 18:26:18
310	4	The paper was published in various towns because	it couldn't find readers where it was	the editor didn't like that part of the country	the Northern armies were on its heels	None of the above			3	1	2002-11-06 08:36:34	1	2003-02-13 18:26:18
310	5	The general who caused the paper the most trouble was	Sherman	Sheridan	Dill	Lee			1	1	2002-11-06 08:36:34	1	2003-02-13 18:26:18
310	6	The story says that Dill moved the paper's equipment by	railroad	mule	covered wagon	Both A and B			4	1	2002-11-06 08:36:34	1	2003-02-13 18:26:18
310	7	The last town in which the Appeal was published was	Jackson, Mississippi	Atlanta, Georgia	Montgomery, Alabama	The article does not say.			4	1	2002-11-06 08:36:34	1	2003-02-13 18:26:18
310	8	The editor stopped publishing the Appeal when	he was captured by the Yankees	the presses sank in the Pearl River	Northern army shells ruined the machinery	None of the above			1	1	2002-11-06 08:36:34	1	2003-02-13 18:26:18
311	1	The roadrunner is different from most birds in that it	would rather run than fly	buries its head in the desert sand	flies north for the winter	is an excellent swimmer			1	1	2002-11-06 08:36:34	1	2003-02-13 18:29:00
311	2	Implied but not stated:	The roadrunner holds its head down when running.	Few birds will eat scorpions and rattlesnakes.	The roadrunner is the only bird that lives in the desert.	The roadrunner is really not a bird.			2	1	2002-11-06 08:36:34	1	2003-02-13 18:29:00
311	3	According to the article, the roadrunner has been credited with killing	mice	rats	tarantulas	All of the above			3	1	2002-11-06 08:36:34	1	2003-02-13 18:29:00
311	4	The roadrunner's tail is described as	longer than its body	very short and stubby	beautifully colored	not very useful			1	1	2002-11-06 08:36:34	1	2003-02-13 18:29:01
311	5	The roadrunner uses its tail to	frighten its enemies	keep its balance	fly long distances	None of the above			2	1	2002-11-06 08:36:34	1	2003-02-13 18:29:01
311	6	It is said that the roadrunner might once have been a	dodo	cuckoo	small ostrich	chicken hawk			2	1	2002-11-06 08:36:34	1	2003-02-13 18:29:01
311	7	The roadrunner is the state bird of	Arizona	Wyoming	California	New Mexico			4	1	2002-11-06 08:36:34	1	2003-02-13 18:29:01
311	8	The author seems to consider the roadrunner	a pesty animal	an interesting bird	Both A and B	Neither A nor B			2	1	2002-11-06 08:36:34	1	2003-02-26 13:34:35
312	1	The story of the builders of the bridge was told in a	novel	film	Both A and B	Neither A nor B			3	1	2002-11-06 08:36:34	1	2003-02-13 18:36:51
312	2	The Kwai bridge was built in	India	Thailand	Japan	China			2	1	2002-11-06 08:36:34	1	2003-02-13 18:33:20
312	3	The story says that the bridge on the Kwai	is still in use today	was destroyed by the Japanese	was destroyed by the Allied forces	was never used			1	1	2002-11-06 08:36:34	1	2003-02-13 18:33:20
312	4	The Japanese wanted a railroad for	efficient passenger traveling	trade in the Orient	a military campaign in the Orient	Both a and B			3	1	2002-11-06 08:36:34	1	2003-02-13 18:36:39
312	5	Most of the men who worked on the bridge were	Japanese laborers	prisoners of war	Japanese soldiers	Both A and C			2	1	2002-11-06 08:36:34	1	2003-02-13 18:33:20
312	6	The length of time it took to build the railroad line was	less than six months	almost one year	more than a year	about three years			3	1	2002-11-06 08:36:34	1	2003-02-13 18:33:20
312	7	Most casualties of the railroad project were caused by	Allied bombing	tropical diseases	Japanese bombing	Both A and B			4	1	2002-11-06 08:36:34	1	2003-02-13 18:33:20
312	8	The bridge was compared to the Great Wall of China because both	cost the same amount of money	took the same amount of time to build	took many lives in the building	are no longer in use			3	1	2002-11-06 08:36:34	1	2003-02-13 18:33:20
313	1	The Korean War was fought during the	1850s	1890s	1940s	1950s			4	1	2002-11-06 08:36:34	1	2003-02-13 18:38:38
313	2	The battles of Lake Champlain and New Orleans occurred during the	Revolutionary War	War of 1812	Spanish-American War	Korean War			2	1	2002-11-06 08:36:34	1	2003-02-13 18:38:38
313	3	Waterloo was the scene of defeat for	Hitler	the Japanese	Napoleon	The article does not say.			3	1	2002-11-06 08:36:34	1	2003-02-13 18:38:38
313	4	Custer made his last stand at	Peshtigo, Wisconsin	New Orleans	Lake Champlain	None of the above			4	1	2002-11-06 08:36:34	1	2003-02-13 18:38:38
313	5	The story says that the United States destroyed the Spanish fleet at	Waterloo	New Orleans	Manila Bay	Lake Champlain			3	1	2002-11-06 08:36:34	1	2003-02-13 18:38:38
313	6	The Titanic was a	battleship	steamship	ship of the Spanish fleet	Both A and C			2	1	2002-11-06 08:36:34	1	2003-02-13 18:38:38
313	7	Two of the worst fires in U.S. history occurred	at the same place	on the same day	on the' same date, one year apart	Both A and C			2	1	2002-11-06 08:36:34	1	2003-02-13 18:38:39
313	8	That so many historic events have occurred on Sunday is probably the result of	careful planning	chance	the fact that people don't work on Sunday	Both A and C			2	1	2002-11-06 08:36:35	1	2003-02-13 18:38:39
314	1	The story of the cap and gown is a	historical fact	falsehood	legend	joke			3	1	2002-11-06 08:36:35	1	2003-02-13 18:42:28
314	2	According to the story, students first wore the cap and gown in	ancient Greece	old England	ancient Rome	the United States			1	1	2002-11-06 08:36:35	1	2003-02-13 18:42:28
314	3	The boys in the story were to be honored because they were the	leaders of the class	beginning students	graduating students	richest students			3	1	2002-11-06 08:36:35	1	2003-02-13 18:42:28
314	4	The fathers expected their sons to be dressed in	jewels	expensive garments	sackcloth robes	Both A and B			4	1	2002-11-06 08:36:35	1	2003-02-13 18:42:28
314	5	The young men were dressed as	masons	noblemen	students	professors			1	1	2002-11-06 08:36:35	1	2003-02-13 18:42:28
314	6	The professor explained that each boy would be a	teacher	musician	builder	noble			3	1	2002-11-06 08:36:35	1	2003-02-13 18:42:28
314	7	The boys' &quot;foundation&quot; would be	knowledge	common sense	wealth	mortar			1	1	2002-11-06 08:36:35	1	2003-02-13 18:42:28
314	8	Today the cap and gown are the mark of a	mason	noble	scholar	Greek			3	1	2002-11-06 08:36:35	1	2003-02-13 18:42:28
